,bedrooms,bathrooms,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,zipcode,price,bat_bed,sqft_floors
26,3,2.0,2.0,0,0,3,8,1750,700,98119,937000,0.6666666666666666,875.0
27,3,1.0,2.0,0,0,5,8,1400,0,98112,667000,0.3333333333333333,700.0
28,3,2.0,1.0,0,0,3,7,790,730,98115,438000,0.6666666666666666,790.0
29,4,2.0,2.0,0,0,3,8,2570,0,98052,719000,0.5,1285.0
30,3,2.0,2.0,0,0,3,8,2320,0,98027,580500,0.6666666666666666,1160.0
31,2,2.0,3.0,0,0,3,7,1190,0,98133,280000,1.0,396.6666666666667
32,4,2.0,2.0,0,0,4,7,1510,820,98117,687500,0.5,755.0
33,3,1.0,2.0,0,0,4,8,1090,0,98117,535000,0.3333333333333333,545.0
34,4,3.0,1.0,0,0,3,7,1280,780,98058,322500,0.75,1280.0
35,3,2.0,2.0,0,0,3,8,1510,790,98115,696000,0.6666666666666666,755.0
37,4,2.0,2.0,0,0,4,8,2360,0,98107,640000,0.5,1180.0
38,4,1.0,1.0,0,0,2,7,890,330,98001,240000,0.25,890.0
39,4,2.0,2.0,0,0,3,8,2620,0,98056,605000,0.5,1310.0
40,4,2.0,2.0,0,0,3,9,2570,0,98074,625000,0.5,1285.0
41,4,2.0,1.0,0,0,3,8,2600,1620,98166,775000,0.5,2600.0
42,5,3.0,2.0,0,0,3,9,3595,0,98053,861990,0.6,1797.5
43,3,1.0,2.0,0,0,3,7,1570,0,98119,685000,0.3333333333333333,785.0
44,3,1.0,1.0,0,0,4,6,920,360,98058,309000,0.3333333333333333,920.0
45,3,2.0,2.0,0,0,3,8,3160,0,98019,488000,0.6666666666666666,1580.0
46,3,1.0,1.0,0,0,3,6,990,0,98023,210490,0.3333333333333333,990.0
47,4,2.0,2.0,0,0,4,9,2290,0,98007,785000,0.5,1145.0
48,3,2.0,1.0,0,0,4,7,1250,0,98115,450000,0.6666666666666666,1250.0
49,3,2.0,1.0,1,2,5,9,2165,588,98070,1350000,0.6666666666666666,2165.0
50,3,1.0,1.0,0,0,3,7,1190,0,98148,228000,0.3333333333333333,1190.0
51,5,2.0,1.0,0,0,4,8,1640,1510,98056,345000,0.4,1640.0
52,3,2.0,1.0,0,0,4,7,1000,410,98117,600000,0.6666666666666666,1000.0
53,2,2.0,1.0,0,0,3,7,990,990,98117,585000,1.0,990.0
54,5,2.0,2.0,0,0,3,8,2130,600,98105,920000,0.4,1065.0
55,4,2.0,2.0,0,0,3,9,2830,0,98105,885000,0.5,1415.0
56,4,2.0,2.0,0,0,3,7,2250,0,98042,292500,0.5,1125.0
57,3,2.0,2.0,0,0,3,8,2420,0,98042,301000,0.6666666666666666,1210.0
58,5,3.0,2.0,0,4,4,8,3250,0,98008,951000,0.6,1625.0
59,4,3.0,2.0,0,0,3,8,1850,0,98059,430000,0.75,925.0
60,3,2.0,1.0,0,3,4,8,1590,560,98166,650000,0.6666666666666666,1590.0
61,3,2.0,1.0,0,0,3,7,1260,0,98148,289000,0.6666666666666666,1260.0
62,3,2.0,2.0,0,0,5,8,2519,0,98166,505000,0.6666666666666666,1259.5
63,3,2.0,3.0,0,0,3,8,1540,0,98115,549000,0.6666666666666666,513.3333333333334
64,3,2.0,1.0,0,0,3,7,1110,550,98122,425000,0.6666666666666666,1110.0
65,3,3.0,2.0,0,0,5,7,1770,1000,98144,317625,1.0,885.0
66,4,2.0,2.0,0,0,3,10,2720,0,98004,975000,0.5,1360.0
67,4,2.0,2.0,0,0,3,7,2240,0,98001,287000,0.5,1120.0
68,3,1.0,1.0,0,0,4,7,1000,0,98042,204000,0.3333333333333333,1000.0
69,5,2.0,1.0,0,0,3,8,1600,1600,98004,1330000,0.4,1600.0
70,5,3.0,1.0,0,0,4,11,3070,1700,98005,1040000,0.6,3070.0
71,3,2.0,1.0,0,0,4,7,1260,0,98034,325000,0.6666666666666666,1260.0
72,4,2.0,2.0,0,0,5,7,2250,500,98125,571000,0.5,1125.0
73,4,2.0,2.0,0,0,3,8,2380,0,98038,360000,0.5,1190.0
74,3,2.0,1.0,0,0,5,7,1090,700,98042,349000,0.6666666666666666,1090.0
75,4,4.0,2.0,0,0,4,10,2390,1040,98075,832500,1.0,1195.0
76,4,2.0,1.0,0,0,3,7,880,880,98008,380000,0.5,880.0
77,3,1.0,1.0,0,0,3,7,1040,0,98116,480000,0.3333333333333333,1040.0
78,3,1.0,1.0,0,0,4,7,910,500,98133,410000,0.3333333333333333,910.0
79,4,2.0,2.0,0,0,3,10,3450,0,98010,720000,0.5,1725.0
80,3,2.0,2.0,0,0,3,8,2350,0,98038,390000,0.6666666666666666,1175.0
81,4,2.0,2.0,0,0,3,7,1900,0,98038,360000,0.5,950.0
82,2,1.0,1.0,0,0,3,7,1010,1010,98118,355000,0.5,1010.0
83,3,2.0,1.0,0,0,3,8,1680,0,98059,356000,0.6666666666666666,1680.0
84,3,1.0,1.0,0,0,3,6,960,0,98125,315000,0.3333333333333333,960.0
85,3,2.0,2.0,0,0,3,9,1900,240,98119,940000,0.6666666666666666,950.0
86,5,2.0,2.0,0,0,5,7,2660,0,98092,305000,0.4,1330.0
87,3,3.0,2.0,0,0,3,9,1980,790,98056,461000,1.0,990.0
88,2,2.0,2.0,0,0,4,7,1610,0,98056,215000,1.0,805.0
89,2,2.0,2.0,0,0,3,7,765,265,98136,335000,1.0,382.5
90,4,2.0,2.0,0,0,3,7,1980,0,98023,243500,0.5,990.0
91,5,3.0,2.0,0,0,4,10,3520,0,98199,1100000,0.6,1760.0
92,3,1.0,1.0,0,0,3,7,1200,0,98023,153000,0.3333333333333333,1200.0
93,3,2.0,1.0,0,0,3,8,1290,290,98117,430000,0.6666666666666666,1290.0
94,3,2.0,1.0,0,0,3,8,1290,290,98117,700000,0.6666666666666666,1290.0
95,4,2.0,1.0,0,0,3,7,2390,910,98040,905000,0.5,2390.0
96,3,2.0,1.0,0,0,3,7,1960,0,98032,247500,0.6666666666666666,1960.0
97,4,2.0,1.0,0,0,4,7,1160,0,98023,199000,0.5,1160.0
98,3,2.0,1.0,0,0,5,7,1210,600,98038,314000,0.6666666666666666,1210.0
99,3,2.0,2.0,0,2,3,9,2320,0,98045,437500,0.6666666666666666,1160.0
100,3,2.0,2.0,0,0,5,9,1270,800,98102,850830,0.6666666666666666,635.0
101,3,2.0,2.0,0,0,4,7,1440,540,98117,555000,0.6666666666666666,720.0
102,3,2.0,2.0,0,0,4,8,2190,0,98077,699950,0.6666666666666666,1095.0
103,3,2.0,2.0,0,0,3,8,2920,0,98004,1090000,0.6666666666666666,1460.0
104,3,1.0,1.0,0,0,3,7,1210,0,98058,290000,0.3333333333333333,1210.0
105,3,2.0,1.0,0,0,4,8,1460,880,98058,375000,0.6666666666666666,1460.0
106,3,1.0,2.0,0,0,4,7,1170,500,98117,460000,0.3333333333333333,585.0
107,2,2.0,1.0,0,0,4,8,1240,0,98198,188500,1.0,1240.0
108,4,2.0,2.0,0,0,4,10,3140,0,98077,680000,0.5,1570.0
109,5,2.0,2.0,0,0,4,7,2030,0,98052,470000,0.4,1015.0
110,4,2.0,2.0,0,0,3,8,2310,0,98027,597750,0.5,1155.0
111,3,2.0,1.0,0,0,5,6,700,560,98103,570000,0.6666666666666666,700.0
112,3,2.0,1.0,0,0,4,7,1160,380,98038,272500,0.6666666666666666,1160.0
113,3,2.0,1.0,0,2,3,7,1080,1000,98108,329950,0.6666666666666666,1080.0
114,4,2.0,2.0,0,3,3,9,2520,710,98001,480000,0.5,1260.0
115,3,4.0,2.0,0,0,3,8,2780,1600,98117,740500,1.3333333333333333,1390.0
116,3,4.0,3.0,0,0,3,8,1590,0,98103,518500,1.3333333333333333,530.0
117,2,1.0,1.0,0,0,4,6,880,0,98178,205425,0.5,880.0
118,4,2.0,1.0,0,0,3,6,1570,0,98168,171800,0.5,1570.0
119,4,1.0,2.0,0,0,4,7,1610,0,98144,535000,0.25,805.0
120,3,2.0,1.0,0,2,3,8,1560,840,98177,660000,0.6666666666666666,1560.0
121,3,2.0,1.0,0,0,3,7,1450,0,98034,391500,0.6666666666666666,1450.0
122,2,1.0,1.0,0,0,3,6,770,0,98117,395000,0.5,770.0
123,4,2.0,2.0,0,0,5,7,1720,380,98118,445000,0.5,860.0
124,3,2.0,2.0,0,0,3,9,2910,0,98052,770000,0.6666666666666666,1455.0
125,4,3.0,2.0,0,0,3,8,1980,770,98004,1450000,0.75,990.0
126,3,2.0,1.0,0,2,3,8,1620,480,98178,445000,0.6666666666666666,1620.0
127,4,2.0,1.0,0,0,3,8,1360,800,98023,260000,0.5,1360.0
128,5,4.0,2.0,0,0,5,7,1720,600,98103,822500,0.8,860.0
129,4,2.0,2.0,0,0,3,7,2070,0,98065,430000,0.5,1035.0
130,3,2.0,1.0,0,0,4,7,1060,0,98092,212000,0.6666666666666666,1060.0
131,4,2.0,1.0,0,0,3,8,1440,570,98027,660500,0.5,1440.0
132,3,4.0,2.0,0,0,3,9,2460,1490,98052,784000,1.3333333333333333,1230.0
133,3,2.0,2.0,0,0,3,8,1390,620,98029,453246,0.6666666666666666,695.0
134,4,4.0,3.0,0,0,3,9,2140,0,98107,675000,1.0,713.3333333333334
135,3,2.0,1.0,0,0,4,7,1320,0,98003,199000,0.6666666666666666,1320.0
136,4,2.0,1.0,0,0,3,7,1010,1010,98003,220000,0.5,1010.0
137,4,2.0,1.0,0,0,4,8,1340,1250,98028,452000,0.5,1340.0
138,2,1.0,1.0,0,0,3,6,1190,0,98125,382500,0.5,1190.0
139,3,2.0,3.0,0,0,3,8,1170,0,98107,519950,0.6666666666666666,390.0
140,2,1.0,1.0,0,0,3,7,1110,0,98119,665000,0.5,1110.0
141,5,2.0,1.0,0,0,4,8,1550,1270,98006,527700,0.4,1550.0
142,3,1.0,1.0,0,0,4,7,1010,600,98058,205000,0.3333333333333333,1010.0
143,3,1.0,1.0,0,0,4,7,940,120,98133,420000,0.3333333333333333,940.0
144,4,2.0,1.0,0,0,4,8,1380,650,98006,500000,0.5,1380.0
145,4,2.0,2.0,0,0,4,9,3670,0,98077,921500,0.5,1835.0
146,4,1.0,2.0,0,0,3,8,2370,180,98109,890000,0.25,1185.0
147,2,2.0,2.0,0,0,3,7,2420,0,98027,430000,1.0,1210.0
148,5,2.0,1.0,0,0,4,8,1130,1130,98032,258000,0.4,1130.0
149,3,1.0,1.0,0,0,3,7,980,450,98103,511000,0.3333333333333333,980.0
150,3,2.0,2.0,0,0,3,8,1360,0,98103,532170,0.6666666666666666,680.0
151,3,1.0,2.0,0,0,3,7,1110,0,98107,560000,0.3333333333333333,555.0
152,3,1.0,1.0,0,0,4,7,1250,0,98003,282950,0.3333333333333333,1250.0
153,4,3.0,2.0,0,3,3,12,3540,1640,98006,2250000,0.75,1770.0
154,1,1.0,1.0,0,0,3,7,700,0,98115,350000,1.0,700.0
155,3,1.0,1.0,0,0,4,7,1180,0,98058,215000,0.3333333333333333,1180.0
156,5,4.0,2.0,0,0,3,9,2500,1460,98056,650000,0.8,1250.0
157,4,3.0,1.0,0,0,3,8,1620,1020,98023,320000,0.75,1620.0
158,3,2.0,2.0,0,0,3,7,1270,0,98022,247000,0.6666666666666666,635.0
159,4,2.0,1.0,0,0,4,8,1760,0,98059,320000,0.5,1760.0
160,5,2.0,1.0,0,0,3,7,1030,1030,98146,255000,0.4,1030.0
161,3,2.0,1.0,0,0,3,7,1780,0,98034,438000,0.6666666666666666,1780.0
162,3,2.0,2.0,0,0,3,10,3400,0,98075,900000,0.6666666666666666,1700.0
163,3,3.0,1.0,0,0,3,7,1160,750,98034,441000,1.0,1160.0
164,3,2.0,1.0,0,0,4,7,1010,1010,98027,420000,0.6666666666666666,1010.0
165,3,2.0,1.0,0,0,3,7,1180,400,98034,370000,0.6666666666666666,1180.0
166,2,2.0,1.0,0,0,5,5,700,640,98198,269950,1.0,700.0
167,4,2.0,2.0,0,0,3,9,2680,0,98006,807100,0.5,1340.0
168,3,2.0,1.0,0,0,4,8,1610,1070,98034,653000,0.6666666666666666,1610.0
169,3,2.0,1.0,0,0,5,7,1370,0,98133,371500,0.6666666666666666,1370.0
170,3,2.0,1.0,0,0,3,7,1560,0,98166,284000,0.6666666666666666,1560.0
171,3,2.0,1.0,0,0,4,7,1670,490,98023,272000,0.6666666666666666,1670.0
172,3,2.0,2.0,0,0,3,7,1340,0,98133,313000,0.6666666666666666,670.0
173,4,2.0,2.0,0,0,3,10,2570,1310,98033,917500,0.5,1285.0
174,4,2.0,2.0,0,0,4,8,2590,0,98006,673000,0.5,1295.0
175,3,2.0,2.0,0,0,3,8,820,300,98122,425000,0.6666666666666666,410.0
176,5,3.0,1.0,0,0,3,7,1320,650,98144,399950,0.6,1320.0
177,3,1.0,1.0,0,0,3,6,1220,0,98122,385000,0.3333333333333333,1220.0
178,3,2.0,1.0,0,2,4,7,1320,630,98022,269950,0.6666666666666666,1320.0
179,2,1.0,1.0,0,0,3,7,1060,290,98177,330000,0.5,1060.0
180,3,2.0,2.0,0,0,3,7,1670,0,98030,260000,0.6666666666666666,835.0
181,4,3.0,2.0,0,0,4,7,1680,700,98126,470000,0.75,840.0
182,4,3.0,2.0,0,0,5,7,2440,0,98034,589000,0.75,1220.0
183,2,2.0,2.0,0,0,3,7,1050,0,98038,163500,1.0,525.0
184,4,3.0,2.0,0,0,3,9,2140,990,98052,835000,0.75,1070.0
185,5,3.0,1.0,0,2,4,10,2090,2000,98033,1100000,0.6,2090.0
186,4,2.0,1.0,0,0,4,8,1100,390,98023,269000,0.5,1100.0
187,3,2.0,2.0,0,0,3,8,1900,0,98074,560000,0.6666666666666666,950.0
188,4,1.0,2.0,0,0,4,6,1330,0,98103,615000,0.25,665.0
189,3,2.0,1.0,0,0,3,8,1430,800,98052,585188,0.6666666666666666,1430.0
190,3,2.0,1.0,0,0,3,7,1220,430,98034,305000,0.6666666666666666,1220.0
191,3,1.0,1.0,0,0,3,6,1190,0,98058,166950,0.3333333333333333,1190.0
192,3,2.0,1.0,0,0,4,8,2140,0,98040,799000,0.6666666666666666,2140.0
193,3,2.0,1.0,0,0,4,7,1420,760,98133,400000,0.6666666666666666,1420.0
194,3,1.0,1.0,0,0,3,7,1060,0,98155,230000,0.3333333333333333,1060.0
195,3,2.0,2.0,0,0,3,8,1690,0,98023,256883,0.6666666666666666,845.0
196,4,2.0,2.0,0,0,5,7,1130,840,98108,423000,0.5,565.0
197,3,2.0,2.0,0,0,3,8,2150,0,98126,465000,0.6666666666666666,1075.0
198,3,2.0,2.0,0,0,3,7,1910,0,98024,440000,0.6666666666666666,955.0
199,3,2.0,1.0,0,0,4,7,1350,0,98038,385000,0.6666666666666666,1350.0
200,3,1.0,1.0,0,0,4,6,860,0,98056,210000,0.3333333333333333,860.0
201,3,2.0,2.0,0,0,3,8,1940,0,98042,297000,0.6666666666666666,970.0
202,3,1.0,1.0,0,0,3,7,1010,0,98107,470000,0.3333333333333333,1010.0
203,3,2.0,1.0,0,0,4,7,900,400,98023,226500,0.6666666666666666,900.0
204,3,1.0,1.0,0,0,4,6,910,0,98059,274250,0.3333333333333333,910.0
205,4,2.0,1.0,0,0,4,9,1630,850,98040,840000,0.5,1630.0
206,3,2.0,2.0,0,0,3,8,2440,0,98052,677900,0.6666666666666666,1220.0
207,3,1.0,1.0,0,0,3,7,1010,0,98116,425000,0.3333333333333333,1010.0
208,2,1.0,1.0,0,0,3,6,900,0,98166,180250,0.5,900.0
209,6,3.0,2.0,0,0,3,7,1600,700,98133,464000,0.5,800.0
210,4,2.0,2.0,0,0,3,8,1550,0,98038,320000,0.5,775.0
211,3,2.0,2.0,0,0,3,8,1060,210,98105,625504,0.6666666666666666,530.0
212,4,2.0,1.0,0,0,3,9,2240,0,98074,592500,0.5,2240.0
213,3,2.0,2.0,0,0,3,9,2714,0,98001,465000,0.6666666666666666,1357.0
214,4,3.0,2.0,0,0,3,8,1720,0,98118,477000,0.75,860.0
215,2,1.0,1.0,0,0,3,6,850,0,98168,280000,0.5,850.0
216,5,3.0,1.0,0,3,3,9,1870,1430,98040,1510000,0.6,1870.0
217,3,2.0,2.0,0,0,3,8,2250,0,98146,445838,0.6666666666666666,1125.0
218,2,2.0,1.0,0,3,3,8,1950,1950,98144,1070000,1.0,1950.0
219,2,2.0,1.0,0,0,4,8,1320,0,98177,467000,1.0,1320.0
220,4,2.0,2.0,0,0,3,10,2760,0,98075,686000,0.5,1380.0
221,3,2.0,1.0,0,0,3,7,1350,400,98198,279950,0.6666666666666666,1350.0
222,4,2.0,2.0,0,0,3,8,2330,0,98011,527000,0.5,1165.0
223,3,2.0,1.0,0,0,4,8,1780,440,98030,325000,0.6666666666666666,1780.0
224,3,2.0,2.0,0,0,3,7,2020,0,98038,328000,0.6666666666666666,1010.0
225,3,2.0,1.0,0,0,5,7,1250,0,98146,390000,0.6666666666666666,1250.0
226,2,2.0,1.0,0,0,3,8,1510,0,98053,479950,1.0,1510.0
227,4,2.0,1.0,0,0,4,7,1120,600,98023,264950,0.5,1120.0
228,3,1.0,1.0,0,0,4,7,980,450,98031,235000,0.3333333333333333,980.0
229,3,2.0,2.0,0,0,3,7,1480,0,98053,516500,0.6666666666666666,740.0
230,2,2.0,2.0,1,4,3,7,1230,220,98166,655000,1.0,615.0
231,4,3.0,1.0,0,0,5,7,2280,0,98059,500000,0.75,2280.0
232,6,3.0,1.0,0,0,3,8,1780,1160,98023,315000,0.5,1780.0
233,2,1.0,1.0,0,0,3,6,1000,0,98024,213000,0.5,1000.0
234,3,2.0,2.0,0,0,5,7,1620,860,98108,475000,0.6666666666666666,810.0
235,5,4.0,2.0,0,0,3,10,3760,0,98033,1030000,0.8,1880.0
236,3,2.0,1.0,0,0,5,7,1640,580,98010,416000,0.6666666666666666,1640.0
237,4,1.0,2.0,0,0,3,7,1670,300,98122,410000,0.25,835.0
238,3,4.0,2.0,0,0,3,10,3530,300,98077,800000,1.3333333333333333,1765.0
239,6,2.0,1.0,0,2,4,9,2350,2060,98003,472000,0.3333333333333333,2350.0
240,3,2.0,1.0,0,0,4,7,1430,0,98003,225000,0.6666666666666666,1430.0
241,2,1.0,1.0,0,0,3,6,830,0,98126,210000,0.5,830.0
242,2,1.0,2.0,0,0,2,7,1430,0,98115,455000,0.5,715.0
243,3,1.0,1.0,0,0,4,6,1300,0,98002,225000,0.3333333333333333,1300.0
244,2,1.0,1.0,0,2,4,7,790,240,98103,480000,0.5,790.0
245,3,2.0,2.0,0,0,3,9,2740,0,98023,363000,0.6666666666666666,1370.0
246,4,2.0,1.0,1,4,3,9,1830,1820,98074,2400000,0.5,1830.0
247,2,2.0,1.0,0,0,3,6,720,0,98106,181000,1.0,720.0
248,4,2.0,1.0,0,0,4,7,2010,0,98002,250000,0.5,2010.0
249,3,2.0,1.0,0,0,4,6,770,790,98103,481000,0.6666666666666666,770.0
250,3,2.0,1.0,0,0,4,7,1240,570,98032,260000,0.6666666666666666,1240.0
251,4,2.0,2.0,0,0,3,9,3360,0,98058,455000,0.5,1680.0
252,3,2.0,2.0,0,0,3,8,1510,0,98045,415000,0.6666666666666666,755.0
253,3,1.0,1.0,0,0,3,7,800,600,98118,349500,0.3333333333333333,800.0
254,3,2.0,2.0,0,0,3,7,1730,0,98030,245000,0.6666666666666666,865.0
255,2,2.0,2.0,0,2,5,7,1420,0,98115,592500,1.0,710.0
256,4,2.0,1.0,0,0,4,7,1180,1180,98106,385000,0.5,1180.0
257,3,2.0,1.0,0,0,4,7,1200,380,98059,315000,0.6666666666666666,1200.0
258,3,1.0,1.0,0,0,3,7,1230,0,98045,255000,0.3333333333333333,1230.0
259,4,2.0,2.0,0,0,3,8,2460,0,98052,693000,0.5,1230.0
260,3,1.0,2.0,0,0,3,8,1460,200,98112,780000,0.3333333333333333,730.0
261,3,2.0,1.0,0,0,4,7,1270,0,98198,237000,0.6666666666666666,1270.0
262,3,2.0,2.0,0,0,3,10,1320,780,98074,525000,0.6666666666666666,660.0
263,2,1.0,1.0,0,0,3,5,770,0,98144,425000,0.5,770.0
264,1,1.0,1.0,1,4,5,5,760,0,98070,369900,1.0,760.0
265,4,2.0,2.0,0,0,4,7,1700,0,98031,290000,0.5,850.0
266,3,1.0,1.0,0,0,3,7,1120,0,98106,285000,0.3333333333333333,1120.0
267,2,1.0,1.0,0,0,3,7,1070,0,98115,415000,0.5,1070.0
268,3,2.0,1.0,0,0,3,8,1420,650,98023,272500,0.6666666666666666,1420.0
269,4,3.0,2.0,0,2,3,11,4750,300,98004,2900000,0.75,2375.0
270,4,5.0,2.0,0,0,4,11,5310,0,98077,1370000,1.25,2655.0
271,2,1.0,1.0,0,0,4,7,1040,0,98133,436000,0.5,1040.0
272,3,1.0,1.0,0,0,4,7,1700,0,98003,210000,0.3333333333333333,1700.0
273,3,1.0,1.0,0,0,3,7,1300,0,98178,236000,0.3333333333333333,1300.0
274,3,2.0,1.0,0,0,3,7,580,500,98199,331000,0.6666666666666666,580.0
275,3,2.0,2.0,0,0,3,8,2653,0,98031,365000,0.6666666666666666,1326.5
276,3,2.0,1.0,0,0,5,8,2290,0,98058,450000,0.6666666666666666,2290.0
277,4,3.0,2.0,0,0,3,9,2850,970,98028,770000,0.75,1425.0
278,4,2.0,1.0,0,0,3,8,2210,0,98038,455000,0.5,2210.0
279,3,2.0,1.0,0,0,3,6,1240,1150,98118,405000,0.6666666666666666,1240.0
280,4,2.0,1.0,0,0,4,7,1610,990,98031,304900,0.5,1610.0
281,2,1.0,1.0,0,0,3,6,860,0,98178,170000,0.5,860.0
282,5,3.0,2.0,0,1,5,9,2630,1200,98122,2050000,0.6,1315.0
283,4,2.0,2.0,0,0,3,9,3500,0,98053,780000,0.5,1750.0
284,3,3.0,1.0,0,0,4,8,1740,680,98028,330000,1.0,1740.0
285,4,2.0,2.0,0,0,3,9,2720,0,98030,370000,0.5,1360.0
286,5,2.0,1.0,0,0,3,7,1850,650,98072,467000,0.4,1850.0
287,3,2.0,1.0,0,0,3,7,1140,530,98034,405000,0.6666666666666666,1140.0
288,5,2.0,1.0,0,0,3,8,1450,1450,98006,675000,0.4,1450.0
289,2,1.0,1.0,0,0,4,7,1140,500,98006,500000,0.5,1140.0
290,4,2.0,2.0,0,0,4,7,1890,0,98166,389999,0.5,945.0
291,4,2.0,1.0,0,2,4,8,1780,1170,98034,630000,0.5,1780.0
292,4,2.0,2.0,0,0,3,9,2160,0,98001,360000,0.5,1080.0
293,4,3.0,2.0,0,0,3,8,2270,1010,98056,580000,0.75,1135.0
294,3,2.0,2.0,0,3,5,8,1270,700,98126,550000,0.6666666666666666,635.0
295,4,2.0,2.0,0,0,3,10,3360,0,98075,879000,0.5,1680.0
296,3,2.0,1.0,0,0,3,7,1320,0,98042,265000,0.6666666666666666,1320.0
297,3,2.0,2.0,0,0,3,8,2650,0,98059,446500,0.6666666666666666,1325.0
298,3,2.0,1.0,0,0,3,7,1330,700,98108,404000,0.6666666666666666,1330.0
299,3,2.0,1.0,0,2,3,7,1090,500,98188,267500,0.6666666666666666,1090.0
300,4,5.0,1.0,1,4,3,10,2600,1950,98074,3080000,1.25,2600.0
301,3,2.0,2.0,0,0,3,8,2440,0,98003,335000,0.6666666666666666,1220.0
302,3,2.0,1.0,0,0,4,7,970,970,98117,576000,0.6666666666666666,970.0
303,3,2.0,2.0,0,0,3,8,2040,0,98038,208633,0.6666666666666666,1020.0
304,3,2.0,1.0,0,0,4,7,1120,1080,98166,315000,0.6666666666666666,1120.0
305,3,2.0,1.0,0,0,4,8,960,960,98112,725000,0.6666666666666666,960.0
306,4,3.0,1.0,0,0,4,8,1400,400,98177,550000,0.75,1400.0
307,4,2.0,2.0,0,0,3,8,2180,0,98074,610750,0.5,1090.0
308,2,1.0,2.0,0,0,4,6,1010,0,98105,550700,0.5,505.0
309,4,3.0,2.0,0,0,5,8,2220,1100,98056,665000,0.75,1110.0
310,4,2.0,2.0,0,2,5,8,1980,390,98144,834000,0.5,990.0
311,5,2.0,2.0,0,0,3,6,1660,0,98065,201000,0.4,830.0
312,5,2.0,2.0,0,4,5,10,3370,280,98119,2380000,0.4,1685.0
313,4,3.0,1.0,0,3,3,11,2690,1600,98006,1380000,0.75,2690.0
314,4,3.0,1.0,0,3,3,11,2690,1600,98006,1400000,0.75,2690.0
315,4,2.0,1.0,0,0,3,8,1350,600,98058,305000,0.5,1350.0
316,3,2.0,1.0,0,0,5,8,1720,870,98133,487000,0.6666666666666666,1720.0
317,3,2.0,1.0,0,0,4,8,1930,0,98042,390000,0.6666666666666666,1930.0
318,2,1.0,1.0,0,0,4,7,1170,300,98103,548000,0.5,1170.0
319,4,1.0,1.0,0,0,3,6,800,0,98166,268750,0.25,800.0
320,5,3.0,2.0,0,0,3,9,3150,0,98052,819900,0.6,1575.0
321,3,2.0,2.0,0,0,3,8,2030,0,98027,520000,0.6666666666666666,1015.0
322,3,2.0,1.0,0,0,3,7,1450,0,98001,230000,0.6666666666666666,1450.0
323,3,2.0,1.0,0,0,3,7,1510,0,98023,240000,0.6666666666666666,1510.0
324,2,1.0,1.0,0,0,3,6,960,280,98146,232000,0.5,960.0
325,2,1.0,1.0,0,0,3,6,960,280,98146,240500,0.5,960.0
326,3,2.0,2.0,0,0,3,9,3030,0,98077,274975,0.6666666666666666,1515.0
327,4,2.0,2.0,0,0,4,9,2050,0,98102,740000,0.5,1025.0
328,3,1.0,1.0,0,0,2,7,1000,0,98166,186375,0.3333333333333333,1000.0
